,ID,LAND_NR,Partei_NR,Partei_ABK,Name,Titel,Vorname,Nachname,Jahrgang,Geschlecht,Kandidatur,LP,WKR_NR,BereitsMdB,MdB_2021,Einzug,Prozent,erneut,TW_acc,TW_user,TW_id,TW_verif,FB_acc,FB_user,FB_id,FB_typ,FB_verif
5321,5322,8,4,FDP,"Strasser, Benjamin",,Benjamin,Strasser,1987,2,3,6.0,294.0,1,1,2,'null',1,1,bstrasser,29540300,1,1,strasser.fdp,139782149374162,1,1
5334,5335,6,6,GRÜNE,"Strengmann-Kuhn, Dr. Wolfgang",Dr.,Wolfgang,Strengmann-Kuhn,1964,2,3,4.0,185.0,1,1,2,'null',1,1,W_SK,20840049,1,1,wolfgang.strengmannkuhn,187802098063534,1,1
5356,5357,11,2,SPD,"Stüwe, Ruppert Fritz Johannes",,Ruppert Fritz Johannes,Stüwe,1978,2,3,5.0,79.0,0,1,2,'null',0,1,stuewer,94592987,2,1,ruppert.stuewe,110257067566418,1,1
5392,5393,8,5,DIE LINKE,"Tatti, Jessica Nadine",,Jessica Nadine,Tatti,1981,1,3,3.0,289.0,1,1,2,'null',1,1,jessica_tatti,1020297087970435072,2,1,MdB.Jessica.Tatti,1701714076575330,1,1
5414,5415,6,6,GRÜNE,"Tesfaiesus, Awet",,Awet,Tesfaiesus,1974,1,3,9.0,169.0,0,1,2,'null',0,1,AwetTesfaiesus,1035577771853049858,1,1,awet.tesfaiesus,100062118904838,3,2
5416,5417,12,4,FDP,"Teuteberg, Linda",,Linda,Teuteberg,1981,1,3,1.0,61.0,1,1,2,'null',1,1,LindaTeuteberg,170964436,1,1,teuteberg.linda,206642169865571,1,1
5417,5418,5,4,FDP,"Teutrine, Jens",,Jens,Teutrine,1993,2,3,18.0,133.0,0,1,2,'null',0,1,jensteutrine,801549587144175616,1,1,jensteutrine,111127507727233,1,1
5426,5427,8,4,FDP,"Theurer, Michael Alexander",,Michael Alexander,Theurer,1967,2,3,1.0,271.0,1,1,2,'null',1,1,EUTheurer,1108382916,1,1,michael.theurer,386021434908185,1,1
5428,5429,5,2,SPD,"Thews, Michael Eckardt",,Michael Eckardt,Thews,1964,2,3,48.0,145.0,1,1,1,"40,6",1,1,michael_thews,409258073,1,1,MichaelThewsMdB,702563316515363,1,1
5445,5446,9,4,FDP,"Thomae, Stephan",,Stephan,Thomae,1968,2,3,6.0,256.0,1,1,2,'null',1,1,StephanThomae,75005687,1,1,stephanthomaefdp,114479615316279,1,1
5454,5455,8,1,CDU,"Throm, Alexander Richard",,Alexander Richard,Throm,1968,2,3,13.0,267.0,1,1,1,"27,8",1,1,alexander_throm,829056811974144001,1,1,alexander.throm.hn,1698700087037237,1,1
5473,5474,16,1,CDU,"Tillmann, Antje",,Antje,Tillmann,1964,1,3,2.0,193.0,1,1,2,'null',1,1,AntjeTillmann,1082925763316367360,1,1,AntjeTillmannMdB,1249194705159064,1,1
5479,5480,14,4,FDP,"Tippelt, Nico",,Nico,Tippelt,1967,2,3,5.0,165.0,0,1,2,'null',0,1,tippelt21,53369932,2,1,tippelt21,101310414002,1,1
5485,5486,5,4,FDP,"Todtenhausen, Manfred",,Manfred,Todtenhausen,1950,2,3,19.0,102.0,1,1,2,'null',1,1,MTodtenhausen,563706584,1,1,manfred.todtenhausen.fdp,370645369674729,1,1
5489,5490,8,4,FDP,"Toncar, Dr. Florian",Dr.,Florian,Toncar,1979,2,3,5.0,260.0,1,1,2,'null',1,1,florian_toncar,17462171,1,1,FlorianToncarMdB,617033428501184,1,1
5491,5492,5,2,SPD,"Töns, Markus",,Markus,Töns,1964,2,3,56.0,123.0,1,1,1,"40,5",1,1,Toens_NRW04,3522875063,1,1,markustoens,1131664343579413,1,1
5503,5504,9,2,SPD,"Träger, Carsten Dietmar",,Carsten Dietmar,Träger,1973,2,3,3.0,243.0,1,1,2,'null',1,1,CarstenTraeger,3577737256,1,1,carstentraegermdb,568297056577159,1,1
5526,5527,3,6,GRÜNE,"Trittin, Jürgen",,Jürgen,Trittin,1954,2,3,4.0,53.0,1,1,2,'null',1,1,JTrittin,485751594,1,1,juergen.trittin,87410317539,1,1
5545,5546,8,2,SPD,"Türk-Nachbaur, Derya",,Derya,Türk-Nachbaur,1973,1,3,19.0,286.0,0,1,2,'null',0,1,derya_tn,1162689374510886912,1,1,derytnSPD,106689868088520,1,2
5556,5557,10,1,CDU,"Uhl, Markus Alexander",,Markus Alexander,Uhl,1979,2,3,4.0,299.0,1,1,2,'null',1,1,uhl_markus,1391875208,2,1,markusuhlmdb,467987053577610,1,1
5557,5558,5,6,GRÜNE,"Uhlig, Katrin Babette",,Katrin Babette,Uhlig,1982,1,3,15.0,96.0,0,1,1,"25,2",0,1,katrinuhligbn,1346462734662193152,2,1,katrinuhlig.bonn,101269598848281,1,2
5561,5562,9,4,FDP,"Ullmann, Prof. Dr.Andrew John",Prof. Dr.,Andrew John,Ullmann,1963,2,3,10.0,251.0,1,1,2,'null',1,1,UllmannMdB,609972369,1,1,ullmannMdB,245945852526795,1,1
