ID,LAND_NR,Partei_NR,Partei_ABK,Name,TW_acc,TW_user,TW_id,TW_verif,gescraped?
5055,8,6,GRÜNE,"Sekmen, Melis",1,Melis_S,289583425,2,ja
5060,8,4,FDP,"Semet, Rainer",1,RainerSemet,1.26378676337138E+018,2,ja
5088,9,3,AfD,"Sichert, Martin Johannes",1,Martin_Sichert,9.18405860862382E+017,2,ja
5114,9,7,CSU,"Silberhorn, Thomas",1,SilberhornMdB,9.51489275312443E+017,1,ja
5117,6,1,CDU,"Simon, Björn Manuel",1,BjoernSimon,93845554,2,ja
5128,15,5,DIE LINKE,"Sitte, Dr. Petra",1,Petra_Sitte_MdB,293522998,1,ja
5132,8,4,FDP,"Skudelny, Judith Sandra",1,JudithSkudelny,9.48958759560376E+017,1,ja
5135,5,6,GRÜNE,"Slawik, Nyke",1,nyke_slawik,3002271760,1,ja
5167,15,1,CDU,"Sorge, Tino",1,TinoSorge,110385973,1,ja
5169,5,1,CDU,"Spahn, Jens Georg",1,jensspahn,299650387,1,ja
5170,5,6,GRÜNE,"Spallek, Dr. Anne Monika",1,AnneSpallek,1.06641853797E+018,2,ja
5171,8,3,AfD,"Spaniel, Dr. Dirk",1,DirkSpaniel,8.10537151729373E+017,2,ja
5178,14,6,GRÜNE,"Spellerberg, Merle",1,spellerberg_m,9.05109355586101E+017,1,ja
5192,12,3,AfD,"Springer, René",1,Rene_Springer,8.31541837965967E+017,1,ja
5198,3,2,SPD,"Stadler, Svenja",1,stadler_svenja,3337459024,1,ja
5202,9,7,CSU,"Staffler, Katrin",1,katrin_staffler,8.25019912083038E+017,1,ja
5206,11,6,GRÜNE,"Stahr, Nina",1,ninastahr,19530651,1,ja
5213,9,2,SPD,"Stamm-Fibich, Martina Margarete",1,stamm_fibich,4017796049,1,ja
5219,6,4,FDP,"Stark-Watzinger, Bettina",1,starkwatzinger,38228691,1,ja
5234,2,6,GRÜNE,"Steffen, Dr. Till Benjamin",1,till_steffen,1125962791,1,ja
5239,9,7,CSU,"Stefinger, Dr. Wolfgang Dieter",1,StefingerMdB,4866955749,1,ja
